species,class
Acanthixalus sonjae,Amphibians
Acanthixalus spinosus,Amphibians
Acris crepitans,Amphibians
Acris gryllus,Amphibians
Adelastes hylonomos,Amphibians
Adelophryne adiastola,Amphibians
Adelophryne baturitensis,Amphibians
Adelophryne gutturosa,Amphibians
Adelophryne maranguapensis,Amphibians
Adelophryne pachydactyla,Amphibians
Adelophryne patamona,Amphibians
Adelotus brevis,Amphibians
Adelphobates castaneoticus,Amphibians
Adelphobates galactonotus,Amphibians
Adelphobates quinquevittatus,Amphibians
Adenomera ajurauna,Amphibians
Adenomera andreae,Amphibians
Adenomera araucaria,Amphibians
Adenomera bokermanni,Amphibians
Adenomera coca,Amphibians
Adenomera diptyx,Amphibians
Adenomera heyeri,Amphibians
Adenomera hylaedactyla,Amphibians
Adenomera lutzi,Amphibians
Adenomera marmorata,Amphibians
Adenomera martinezi,Amphibians
Adenomera nanus,Amphibians
Adenomera thomei,Amphibians
Adenomus dasi,Amphibians
Adenomus kandianus,Amphibians
Adenomus kelaartii,Amphibians
Afrixalus aureus,Amphibians
Afrixalus brachycnemis,Amphibians
Afrixalus clarkei,Amphibians
Afrixalus crotalus,Amphibians
Afrixalus delicatus,Amphibians
Afrixalus dorsalis,Amphibians
Afrixalus dorsimaculatus,Amphibians
Afrixalus enseticola,Amphibians
Afrixalus equatorialis,Amphibians
Afrixalus fornasini,Amphibians
Afrixalus fulvovittatus,Amphibians
Afrixalus knysnae,Amphibians
Afrixalus lacteus,Amphibians
Afrixalus laevis,Amphibians
Afrixalus leucostictus,Amphibians
Afrixalus lindholmi,Amphibians
Afrixalus morerei,Amphibians
Afrixalus nigeriensis,Amphibians
Afrixalus orophilus,Amphibians
Afrixalus osorioi,Amphibians
Afrixalus paradorsalis,Amphibians
Afrixalus quadrivittatus,Amphibians
Afrixalus schneideri,Amphibians
Afrixalus septentrionalis,Amphibians
Afrixalus spinifrons,Amphibians
Afrixalus stuhlmanni,Amphibians
Afrixalus sylvaticus,Amphibians
Afrixalus uluguruensis,Amphibians
Afrixalus upembae,Amphibians
Afrixalus vibekensis,Amphibians
Afrixalus vittiger,Amphibians
Afrixalus weidholzi,Amphibians
Afrixalus wittei,Amphibians
Agalychnis annae,Amphibians
Agalychnis callidryas,Amphibians
Agalychnis litodryas,Amphibians
Agalychnis moreletii,Amphibians
Agalychnis saltator,Amphibians
Agalychnis spurrelli,Amphibians
Aglyptodactylus laticeps,Amphibians
Aglyptodactylus madagascariensis,Amphibians
Aglyptodactylus securifer,Amphibians
Albericus brunhildae,Amphibians
Albericus darlingtoni,Amphibians
Albericus exclamitans,Amphibians
Albericus fafniri,Amphibians
Albericus gudrunae,Amphibians
Albericus gunnari,Amphibians
Albericus laurini,Amphibians
Albericus rhenaurum,Amphibians
Albericus sanguinopictus,Amphibians
Albericus siegfriedi,Amphibians
Albericus swanhildae,Amphibians
Albericus tuberculus,Amphibians
Albericus valkuriarum,Amphibians
Alexteroon hypsiphonus,Amphibians
Alexteroon jynx,Amphibians
Alexteroon obstetricans,Amphibians
Allobates alessandroi,Amphibians
Allobates algorei,Amphibians
Allobates bromelicola,Amphibians
Allobates brunneus,Amphibians
Allobates caeruleodactylus,Amphibians
Allobates caribe,Amphibians
Allobates cepedai,Amphibians
Allobates chalcopis,Amphibians
Allobates conspicuus,Amphibians
Allobates crombiei,Amphibians
Allobates femoralis,Amphibians
Allobates fratisenescus,Amphibians
Allobates fuscellus,Amphibians
Allobates gasconi,Amphibians
Allobates goianus,Amphibians
Allobates granti,Amphibians
Allobates humilis,Amphibians
Allobates insperatus,Amphibians
Allobates juanii,Amphibians
Allobates kingsburyi,Amphibians
Allobates mandelorum,Amphibians
Allobates marchesianus,Amphibians
Allobates masniger,Amphibians
Allobates mcdiarmidi,Amphibians
Allobates melanolaemus,Amphibians
Allobates myersi,Amphibians
Allobates nidicola,Amphibians
Allobates niputidea,Amphibians
Allobates olfersioides,Amphibians
Allobates ornatus,Amphibians
Allobates paleovarzensis,Amphibians
Allobates picachos,Amphibians
Allobates pittieri,Amphibians
Allobates ranoides,Amphibians
Allobates rufulus,Amphibians
Allobates sanmartini,Amphibians
Allobates spumaponens,Amphibians
Allobates subfolionidificans,Amphibians
Allobates sumtuosus,Amphibians
Allobates talamancae,Amphibians
Allobates trilineatus,Amphibians
Allobates undulatus,Amphibians
Allobates vanzolinius,Amphibians
Allobates wayuu,Amphibians
Allobates zaparo,Amphibians
Allopaa hazarensis,Amphibians
Allophryne ruthveni,Amphibians
Alsodes australis,Amphibians
Alsodes barrioi,Amphibians
Alsodes gargola,Amphibians
Alsodes hugoi,Amphibians
Alsodes igneus,Amphibians
Alsodes kaweshkari,Amphibians
Alsodes montanus,Amphibians
Alsodes monticola,Amphibians
Alsodes nodosus,Amphibians
Alsodes norae,Amphibians
Alsodes pehuenche,Amphibians
Alsodes tumultuosus,Amphibians
Alsodes valdiviensis,Amphibians
Alsodes vanzolinii,Amphibians
Alsodes verrucosus,Amphibians
Alsodes vittatus,Amphibians
Altigius alios,Amphibians
Altiphrynoides malcolmi,Amphibians
Altiphrynoides osgoodi,Amphibians
Alytes cisternasii,Amphibians
Alytes dickhilleni,Amphibians
Alytes maurus,Amphibians
Alytes muletensis,Amphibians
Alytes obstetricans,Amphibians
Ambystoma altamirani,Amphibians
